The Input Data to the Controller and Out From Carla
x, y, yaw,v,t
-181.884979,47.622150,-1.546347,4.297614,13.645000
-181.881989,47.478584,-1.546745,4.311152,13.678000
-181.878830,47.334568,-1.547032,4.324744,13.711000
-181.875565,47.190102,-1.547185,4.338387,13.744000
-181.872177,47.045181,-1.547238,4.352066,13.777000
-181.868744,46.899807,-1.547235,4.365780,13.810000
-181.865295,46.753975,-1.547210,4.379557,13.843000
-181.862305,46.607670,-1.547510,4.393246,13.876000
-181.859344,46.460903,-1.547884,4.407123,13.909000
-181.856277,46.313679,-1.548157,4.421070,13.942000
-181.853088,46.165989,-1.548299,4.435079,13.975000
-181.849777,46.017830,-1.548346,4.449147,14.008000
-181.846420,45.869209,-1.548338,4.463261,14.041000
-181.843048,45.720112,-1.548312,4.477424,14.074000
-181.840134,45.570530,-1.548595,4.491504,14.107000
-181.837280,45.420479,-1.548954,4.505762,14.140000
-181.834274,45.269955,-1.549214,4.520072,14.173000
-181.831146,45.118954,-1.549348,4.534409,14.206000
-181.827927,44.967476,-1.549389,4.548761,14.239000
-181.824646,44.815517,-1.549378,4.563143,14.272000
-181.821365,44.663086,-1.549349,4.577573,14.305000
-181.818497,44.510159,-1.549619,4.591916,14.338000
-181.815674,44.356750,-1.549962,4.606401,14.371000
-181.812744,44.202866,-1.550212,4.620927,14.404000
-181.809708,44.048496,-1.550340,4.635495,14.437000
-181.806580,43.893646,-1.550375,4.650104,14.470000
-181.803375,43.738304,-1.550361,4.664784,14.503000
-181.800171,43.582470,-1.550329,4.679529,14.536000
-181.797379,43.426140,-1.550585,4.694219,14.569000
-181.794632,43.269310,-1.550914,4.709094,14.602000
-181.791779,43.111988,-1.551154,4.724036,14.635000
-181.788788,42.954170,-1.551274,4.739014,14.668000
-181.785706,42.795849,-1.551305,4.754041,14.701000
-181.782593,42.637024,-1.551289,4.769125,14.734000
-181.779434,42.477703,-1.551256,4.784266,14.767000
-181.776688,42.317871,-1.551499,4.799362,14.800000
-181.774017,42.157532,-1.551816,4.814616,14.833000
-181.771225,41.996677,-1.552046,4.829923,14.866000
-181.768311,41.835316,-1.552162,4.845266,14.899000
-181.765305,41.673447,-1.552188,4.860641,14.932000
-181.762268,41.511063,-1.552169,4.876047,14.965000
-181.759171,41.348171,-1.552134,4.891495,14.998000
-181.756500,41.184750,-1.552365,4.906906,15.031000
-181.753860,41.020809,-1.552670,4.922473,15.064000
-181.751129,40.856358,-1.552892,4.938115,15.097000
-181.748276,40.691380,-1.553002,4.953799,15.130000
-181.745331,40.525879,-1.553026,4.969532,15.163000
-181.742355,40.359856,-1.553004,4.985314,15.196000
-181.739334,40.193306,-1.552968,5.001132,15.229000
-181.736755,40.026218,-1.553207,5.016996,15.262000
-181.734116,39.858601,-1.553470,5.032962,15.295000
-181.731339,39.690453,-1.553619,5.048930,15.328000
-181.728485,39.521809,-1.553627,5.063703,15.361000
-181.725647,39.352894,-1.553512,5.070407,15.394000
-181.722824,39.184361,-1.553470,5.056720,15.427000
-181.720444,39.016613,-1.553747,5.035308,15.460000
-181.718048,38.849491,-1.554079,5.018188,15.493000
-181.715546,38.682785,-1.554318,5.005991,15.526000
-181.712967,38.516293,-1.554435,4.999191,15.559000
-181.710236,38.348267,-1.554452,5.054405,15.592000
-181.707382,38.177811,-1.554423,5.118658,15.625000
-181.704895,38.005253,-1.554636,5.178389,15.658000
-181.702347,37.830910,-1.554912,5.230738,15.691000
-181.699646,37.655266,-1.555139,5.268860,15.724000
-181.696854,37.479107,-1.555265,5.283689,15.757000
-181.693954,37.303158,-1.555203,5.280021,15.790000
-181.691055,37.127499,-1.555101,5.274753,15.823000
-181.688141,36.952007,-1.555019,5.271053,15.856000
-181.685608,36.776566,-1.555168,5.269491,15.889000
-181.683075,36.601082,-1.555406,5.270418,15.922000
-181.680542,36.425461,-1.555597,5.274260,15.955000
-181.677887,36.249588,-1.555698,5.281283,15.988000
-181.675186,36.073360,-1.555723,5.291637,16.021000
-181.672440,35.896656,-1.555705,5.305345,16.054000
-181.669983,35.719379,-1.555863,5.322378,16.087000
-181.667542,35.541424,-1.556081,5.342489,16.120000
-181.665009,35.362698,-1.556245,5.365479,16.153000
-181.662415,35.183125,-1.556326,5.390995,16.186000
-181.659760,35.002636,-1.556341,5.418582,16.219000
-181.657059,34.821178,-1.556319,5.447722,16.252000
-181.654648,34.638721,-1.556474,5.477886,16.285000
-181.652237,34.455250,-1.556688,5.508426,16.318000
-181.649719,34.270767,-1.556848,5.538858,16.351000
-181.647141,34.085308,-1.556925,5.568700,16.384000
-181.644501,33.898891,-1.556936,5.597508,16.417000
-181.641830,33.711575,-1.556912,5.624944,16.450000
-181.639435,33.523396,-1.557059,5.650770,16.483000
-181.637024,33.334427,-1.557267,5.674742,16.516000
-181.634567,33.144722,-1.557421,5.696862,16.549000
-181.632034,32.954346,-1.557492,5.717165,16.582000
-181.629425,32.763355,-1.557498,5.735751,16.615000
-181.627060,32.571796,-1.557643,5.752798,16.648000
-181.624725,32.379715,-1.557834,5.768451,16.681000
-181.622299,32.187141,-1.557969,5.783029,16.714000
-181.619797,31.994110,-1.558029,5.796795,16.747000
-181.617264,31.800636,-1.558030,5.810015,16.780000
-181.614700,31.606728,-1.558003,5.822951,16.813000
-181.612656,31.412376,-1.558285,5.835879,16.846000
-181.610641,31.217581,-1.558670,5.848987,16.879000
